Name,Title,Profile URL,Email
Emily Black,"Assistant Professor of Computer Science, Engineering, and Data Science",https://cds.nyu.edu/team/emily-black/,N/A
Sam Bowman,Associate Professor of Linguistics and Data Science,https://cds.nyu.edu/team/sam-bowman/,N/A
Joan Bruna,Professor of Computer Science and Data Science,https://cds.nyu.edu/team/joan-bruna-2/,N/A
Kyunghyun Cho,Professor of Computer Science and Data Science,https://cds.nyu.edu/team/kyunghyun-cho-2/,N/A
Eunsol Choi,Assistant Professor of Computer Science and Data Science,https://cds.nyu.edu/team/eunsol-choi-2/,N/A
Greg Durrett,Associate Professor of Computer Science and Data Science,https://cds.nyu.edu/team/greg-durrett/,N/A
Carlos Fernandez-Granda,CDS Interim Director & Associate Professor of Mathematics and Data Science,https://cds.nyu.edu/team/carlos-fernandez-granda-2/,N/A
Juliana Freire,"Professor of Computer Science, Engineering, and Data Science",https://cds.nyu.edu/team/juliana-freire/,N/A
Yanjun Han,Assistant Professor of Mathematics and Data Science,https://cds.nyu.edu/team/yanjun-han/,N/A
He He,Associate Professor of Computer Science and Data Science,https://cds.nyu.edu/team/he-he/,N/A
Julia Kempe,"Silver Professor of Computer Science, Mathematics, and Data Science",https://cds.nyu.edu/team/julia-kempe/,N/A
Qi Lei,Assistant Professor of Mathematics and Data Science,https://cds.nyu.edu/team/qi-lei/,N/A
Zongyi Li,Assistant Professor of Mathematics and Data Science - Starting September 2026,https://cds.nyu.edu/team/zongyi-li/,N/A
Grace Lindsay,Assistant Professor of Psychology and Data Science,https://cds.nyu.edu/team/grace-lindsay/,N/A
Tal Linzen,Associate Professor of Linguistics and Data Science,https://cds.nyu.edu/team/tal-linzen/,N/A
Brian McFee,"Director of Graduate Studies, MS & Associate Professor of Music Technology and Data Science",https://cds.nyu.edu/team/brian-mcfee/,N/A
Jonathan Niles-Weed,Deputy Director & Associate Professor of Mathematics and Data Science,https://cds.nyu.edu/team/jonathan-niles-weed/,N/A
Juan C. Perdomo,"Assistant Professor of Computer Science, Engineering, and Data Science - Starting September 2026",https://cds.nyu.edu/team/juan-c-perdomo/,N/A
Rajesh Ranganath,Associate Professor of Computer Science and Data Science,https://cds.nyu.edu/team/rajesh-ranganath/,N/A
Mengye Ren,Assistant Professor of Computer Science and Data Science,https://cds.nyu.edu/team/mengye-ren/,N/A
Cristina Savin,Dir. Graduate Studies for PhD Program/Admissions & Associate Professor of Neural Science and Data Science,https://cds.nyu.edu/team/cristina-savin/,N/A
Pratyusha Sharma,Assistant Professor of Computer Science and Data Science - Starting September 2026,https://cds.nyu.edu/team/4917/,N/A
Claudio Silva,"Professor of Computer Science, Engineering, and Data Science & Institute Professor of Tandon School of Engineering",https://cds.nyu.edu/team/claudio-silva/,N/A
Julia Stoyanovich,"Associate Professor of DS, CS, and Engineering & Institute Associate Professor of Tandon School of Engineering",https://cds.nyu.edu/team/julia-stoyanovich/,N/A
Jaume Vives-i-Bastida,Assistant Professor of Economics and Data Science - Starting September 2026,https://cds.nyu.edu/team/jaume-vives-i-bastida/,N/A
Andrew Gordon Wilson,Professor of Computer Science and Data Science,https://cds.nyu.edu/team/andrew-wilson/,N/A
Laure Zanna,Joseph and Herbert Keller Professor in Applied Math & Professor of Mathematics and Data Science,https://zanna-researchteam.github.io/author/laure-zanna/,N/A
